1701,2023/01/04,31.8,32.3,30.25,31.6,0.15000000000000213,0.48,23077.925
1701,2023/01/03,31.8,32.45,30.9,31.45,-1.8000000000000007,-5.41,23413.035
1701,2022/12/30,33.2,33.95,32.85,33.25,-0.5499999999999972,-1.63,8016.181
1701,2022/12/29,32.05,33.9,31,33.8,1.6999999999999957,5.30,9510.174
1701,2022/12/28,33.9,34.5,32.1,32.1,-2.049999999999997,-6.00,8105.062
1701,2022/12/27,36,36,33.2,34.15,-2.700000000000003,-7.33,14660.81
1701,2022/12/26,34,36.85,34,36.85,3.3500000000000014,10.00,16524.17
1701,2022/12/23,31.2,33.5,31.2,33.5,2.6000000000000014,8.41,15339.056
1701,2022/12/22,31.1,31.1,29.9,30.9,0.1999999999999993,0.65,7454.751
1701,2022/12/21,29.25,30.7,29.2,30.7,2.1499999999999986,7.53,8509.001
1701,2022/12/20,30.15,30.15,27.95,28.55,-2.3000000000000007,-7.46,12949.316
1701,2022/12/19,31.15,31.6,30.1,30.85,-0.25,-0.80,15288.251
1701,2022/12/16,28.9,31.6,28.35,31.1,2.0500000000000007,7.06,94845.441
1701,2022/12/15,28.85,29.45,28.25,29.05,-0.09999999999999787,-0.34,33255.379
1701,2022/12/14,28.5,30.45,27.85,29.15,1.3499999999999979,4.86,99133.044
1701,2022/12/13,26.65,27.8,26.5,27.8,2.5,9.88,21091.654
1701,2022/12/12,24.05,25.3,24.05,25.3,2.3000000000000007,10.00,15283.043
1701,2022/12/09,21.6,23,21.4,23,1.75,8.24,6055.469
1701,2022/12/08,21.35,21.65,21.2,21.25,-0.10000000000000142,-0.47,671.48
1701,2022/12/07,21.05,21.45,21,21.35,0.3000000000000007,1.43,1150.315
1701,2022/12/06,21.3,21.3,21,21.05,-0.25,-1.17,451.686
1701,2022/12/05,21.15,21.35,21.15,21.3,0.15000000000000213,0.71,342.083
1701,2022/12/02,21,21.25,21,21.15,0.09999999999999787,0.48,336.203
1701,2022/12/01,21.15,21.2,21.05,21.05,0,0.00,429.495
1701,2022/11/30,21,21.1,20.95,21.05,0.15000000000000213,0.72,423.526
1701,2022/11/29,20.75,20.95,20.75,20.9,0.04999999999999716,0.24,222.031
1701,2022/11/28,20.75,20.9,20.75,20.85,0,0.00,223.024
1701,2022/11/25,20.9,21.1,20.8,20.85,-0.09999999999999787,-0.48,268.184
1701,2022/11/24,21,21,20.9,20.95,-0.05000000000000071,-0.24,306.69
1701,2022/11/23,20.85,21,20.8,21,0.14999999999999858,0.72,316.641
1701,2022/11/22,20.7,20.85,20.65,20.85,0.05000000000000071,0.24,212.711
1701,2022/11/21,20.85,20.85,20.65,20.8,0.10000000000000142,0.48,244.803
1701,2022/11/18,20.75,20.9,20.7,20.7,-0.15000000000000213,-0.72,226.189
1701,2022/11/17,20.65,20.95,20.65,20.85,0.20000000000000284,0.97,313.742
1701,2022/11/16,20.7,20.9,20.65,20.65,-0.15000000000000213,-0.72,344.931
1701,2022/11/15,20.7,20.8,20.6,20.8,0.05000000000000071,0.24,605.209
1701,2022/11/14,20.65,20.8,20.55,20.75,0.10000000000000142,0.48,480.323
1701,2022/11/11,20.75,20.8,20.65,20.65,0.04999999999999716,0.24,699.842
1701,2022/11/10,20.65,20.7,20.5,20.6,-0.04999999999999716,-0.24,246.271
1701,2022/11/09,20.55,20.7,20.5,20.65,0.09999999999999787,0.49,409.813
1701,2022/11/08,20.6,20.7,20.55,20.55,-0.05000000000000071,-0.24,312.541
1701,2022/11/07,20.3,20.6,20.3,20.6,0.3000000000000007,1.48,407.712
1701,2022/11/04,20.25,20.35,20.2,20.3,-0.05000000000000071,-0.25,173.626
1701,2022/11/03,20.35,20.4,20.25,20.35,0,0.00,169.69
1701,2022/11/02,20.2,20.45,20.2,20.35,0.10000000000000142,0.49,267.276
1701,2022/11/01,20.3,20.35,20.15,20.25,0.05000000000000071,0.25,528.689
1701,2022/10/31,20.35,20.35,20.2,20.2,0,0.00,127.38
1701,2022/10/28,20.4,20.4,20.15,20.2,-0.1999999999999993,-0.98,170.919
1701,2022/10/27,20.15,20.4,20.15,20.4,0.25,1.24,329.161
1701,2022/10/26,20.15,20.25,20.05,20.15,0.04999999999999716,0.25,289.275
1701,2022/10/25,20.3,20.3,20,20.1,-0.04999999999999716,-0.25,366.131
1701,2022/10/24,20.4,20.4,20.1,20.15,0.09999999999999787,0.50,565.098
1701,2022/10/21,20.05,20.1,19.85,20.05,0.10000000000000142,0.50,558.178
1701,2022/10/20,20.9,20.9,19.9,19.95,-0.9499999999999993,-4.55,2840.596
1701,2022/10/19,20.95,21.15,20.85,20.9,-0.20000000000000284,-0.95,123.277
1701,2022/10/18,21,21.1,20.9,21.1,0.25,1.20,260.613
1701,2022/10/17,20.9,20.95,20.65,20.85,-0.1999999999999993,-0.95,330.91
1701,2022/10/14,20.65,21.2,20.65,21.05,0.4499999999999993,2.18,368.913
